Date,GOOGL,AMZN
2024-01-02,137.03738403320312,149.92999267578125
2024-01-03,137.78125,148.47000122070312
2024-01-04,135.27198791503906,144.57000732421875
2024-01-05,134.6173858642578,145.24000549316406
2024-01-08,137.701904296875,149.10000610351562
2024-01-09,139.79461669921875,151.3699951171875
2024-01-10,141.11367797851562,153.72999572753906
2024-01-11,140.9153289794922,155.17999267578125
2024-01-12,141.4806671142578,154.6199951171875
2024-01-16,141.32199096679688,153.16000366210938
2024-01-17,140.3103485107422,151.7100067138672
2024-01-18,142.30386352539062,153.5
2024-01-19,145.18011474609375,155.33999633789062
2024-01-22,144.79330444335938,154.77999877929688
2024-01-23,145.83465576171875,156.02000427246094
2024-01-24,147.48106384277344,156.8699951171875
2024-01-25,150.62506103515625,157.75
2024-01-26,150.94244384765625,159.1199951171875
2024-01-29,152.25164794921875,161.25999450683594
2024-01-30,150.21847534179688,159.0
2024-01-31,138.95155334472656,155.1999969482422
2024-02-01,140.0028839111328,159.27999877929688
2024-02-02,141.212890625,171.80999755859375
2024-02-05,142.50221252441406,170.30999755859375
2024-02-06,142.9187774658203,169.14999389648438
2024-02-07,144.3469696044922,170.52999877929688
2024-02-08,144.7139434814453,169.83999633789062
2024-02-09,147.7786102294922,174.4499969482422
2024-02-12,146.3206787109375,172.33999633789062
2024-02-13,143.95025634765625,168.63999938964844
2024-02-14,144.74371337890625,170.97999572753906
2024-02-15,141.59970092773438,169.8000030517578
2024-02-16,139.36813354492188,169.50999450683594
2024-02-20,139.96319580078125,167.0800018310547
2024-02-21,141.38148498535156,168.58999633789062
2024-02-22,142.90887451171875,174.5800018310547
2024-02-23,142.77992248535156,174.99000549316406
2024-02-26,136.4423370361328,174.72999572753906
2024-02-27,137.74159240722656,173.5399932861328
2024-02-28,135.26206970214844,173.16000366210938
2024-02-29,137.3250274658203,176.75999450683594
2024-03-01,136.01583862304688,178.22000122070312
2024-03-04,132.25689697265625,177.5800018310547
2024-03-05,131.5824737548828,174.1199951171875
2024-03-06,130.32290649414062,173.50999450683594
2024-03-07,133.2784423828125,176.82000732421875
2024-03-08,134.30001831054688,175.35000610351562
2024-03-11,136.54147338867188,171.9600067138672
2024-03-12,137.3647003173828,175.38999938964844
2024-03-13,138.64410400390625,176.55999755859375
2024-03-14,141.92697143554688,178.75
2024-03-15,140.02268981933594,174.4199981689453
2024-03-18,146.46942138671875,174.47999572753906
2024-03-19,145.82476806640625,175.89999389648438
2024-03-20,147.52073669433594,178.14999389648438
2024-03-21,146.39010620117188,178.14999389648438
2024-03-22,149.53408813476562,178.8699951171875
2024-03-25,148.83984375,179.7100067138672
2024-03-26,149.43492126464844,178.3000030517578
2024-03-27,149.6332550048828,179.8300018310547
2024-03-28,149.6927947998047,180.3800048828125
2024-04-01,154.21542358398438,180.97000122070312
2024-04-02,153.29302978515625,180.69000244140625
2024-04-03,153.65008544921875,182.41000366210938
2024-04-04,149.2960662841797,180.0
2024-04-05,151.2499237060547,185.07000732421875
2024-04-08,153.5806427001953,185.19000244140625
2024-04-09,155.3163299560547,185.6699981689453
2024-04-10,154.86007690429688,185.9499969482422
2024-04-11,158.10328674316406,189.0500030517578
2024-04-12,156.4370574951172,186.1300048828125
2024-04-15,153.59059143066406,183.6199951171875
2024-04-16,153.1343536376953,183.32000732421875
2024-04-17,154.19558715820312,181.27999877929688
2024-04-18,154.7311553955078,179.22000122070312
2024-04-19,152.82687377929688,174.6300048828125
2024-04-22,154.99891662597656,177.22999572753906
2024-04-23,156.96270751953125,179.5399932861328
2024-04-24,157.82559204101562,176.58999633789062
2024-04-25,154.72120666503906,173.6699981689453
2024-04-26,170.54049682617188,179.6199951171875
2024-04-29,164.7880096435547,180.9600067138672
2024-04-30,161.44564819335938,175.0
2024-05-01,162.51681518554688,179.0
2024-05-02,165.254150390625,184.72000122070312
2024-05-03,165.86911010742188,186.2100067138672
2024-05-06,166.7220458984375,188.6999969482422
2024-05-07,169.84622192382812,188.75999450683594
2024-05-08,167.99156188964844,188.0
2024-05-09,168.56678771972656,189.5
2024-05-10,167.2675323486328,187.47999572753906
2024-05-13,167.75352478027344,186.57000732421875
2024-05-14,168.94369506835938,187.07000732421875
2024-05-15,171.0959014892578,185.99000549316406
2024-05-16,172.752197265625,183.6300048828125
2024-05-17,174.61679077148438,184.6999969482422
2024-05-20,175.46975708007812,183.5399932861328
2024-05-21,176.39210510253906,183.14999389648438
2024-05-22,174.93417358398438,183.1300048828125
2024-05-23,172.12734985351562,181.0500030517578
2024-05-24,173.5555419921875,180.75
2024-05-28,174.95401000976562,182.14999389648438
2024-05-29,174.45809936523438,182.02000427246094
2024-05-30,170.6991729736328,179.32000732421875
2024-05-31,171.0859832763672,176.44000244140625
2024-06-03,171.75048828125,178.33999633789062
2024-06-04,172.36537170410156,179.33999633789062
2024-06-05,173.9721221923828,181.27999877929688
2024-06-06,175.2812957763672,185.0
2024-06-07,173.0299072265625,184.3000030517578
2024-06-10,173.7746124267578,187.05999755859375
2024-06-11,175.3732147216797,187.22999572753906
2024-06-12,176.53500366210938,186.88999938964844
2024-06-13,173.923583984375,183.8300018310547
2024-06-14,175.5420379638672,183.66000366210938
2024-06-17,175.9888916015625,184.05999755859375
2024-06-18,173.85406494140625,182.80999755859375
2024-06-20,175.05551147460938,186.10000610351562
2024-06-21,178.3620147705078,189.0800018310547
2024-06-24,177.95489501953125,185.57000732421875
2024-06-25,182.73094177246094,186.33999633789062
2024-06-26,182.58201599121094,193.61000061035156
2024-06-27,184.10122680664062,197.85000610351562
2024-06-28,180.86419677734375,193.25
2024-07-01,181.6982879638672,197.1999969482422
2024-07-02,183.93238830566406,200.0
2024-07-03,184.50830078125,197.58999633789062
